"id","data","campionato","sq_casa","sq_ospite","risultato_finale","reti_casa","reti_ospite","divisione","serie","tot_reti","diff_reti","risultato"
"1","1974-08-17",1974,"Birmingham City","Middlesbrough","0-3",0,3,"1",1,3,-3,"A"
"2","1974-08-17",1974,"Burnley","Wolverhampton Wanderers","1-2",1,2,"1",1,3,-1,"A"
"53";"1974-08-31";1974;"Sheffield United";"Ipswich Town";"3-1";3;1;"1";1;4;2;"H"
"54";"1974-08-31";1974;"Stoke City";"Middlesbrough";"1-1";1;1;"1";1;2;0;"D"
"55";"1974-08-31";1974;"Tottenham Hotspur";"Derby County";"2-0";2;0;"1";1;2;2;"H"
"56";"1974-09-07";1974;"Arsenal";"Burnley";"0-1";0;1;"1";1;1;-1;"A"
"57";"1974-09-07";1974;"Carlisle United";"Stoke City";"0-2";0;2;"1";1;2;-2;"A"
"58";"1974-09-07";1974;"Coventry City";"Manchester City";"2-2";2;2;"1";1;4;0;"D"
"59";"1974-09-07";1974;"Derby County";"Newcastle United";"2-2";2;2;"1";1;4;0;"D"
"60";"1974-09-07";1974;"Ipswich Town";"Everton";"1-0";1;0;"1";1;1;1;"H"
"61";"1974-09-07";1974;"Leeds United";"Luton Town";"1-1";1;1;"1";1;2;0;"D"
"62";"1974-09-07";1974;"Liverpool";"Tottenham Hotspur";"5-2";5;2;"1";1;7;3;"H"
"63";"1974-09-07";1974;"Middlesbrough";"Chelsea";"1-1";1;1;"1";1;2;0;"D"
"64";"1974-09-07";1974;"Queens Park Rangers";"Birmingham City";"0-1";0;1;"1";1;1;-1;"A"
"65";"1974-09-07";1974;"West Ham United";"Sheffield United";"1-2";1;2;"1";1;3;-1;"A"
"66";"1974-09-07";1974;"Wolverhampton Wanderers";"Leicester City";"1-1";1;1;"1";1;2;0;"D"
"67";"1974-09-14";1974;"Birmingham City";"Derby County";"3-2";3;2;"1";1;5;1;"H"
"68";"1974-09-14";1974;"Burnley";"Leeds United";"2-1";2;1;"1";1;3;1;"H"
"69";"1974-09-14";1974;"Chelsea";"Arsenal";"0-0";0;0;"1";1;0;0;"D"
"70";"1974-09-14";1974;"Everton";"Wolverhampton Wanderers";"0-0";0;0;"1";1;0;0;"D"
"71";"1974-09-14";1974;"Leicester City";"Queens Park Rangers";"3-1";3;1;"1";1;4;2;"H"
"72";"1974-09-14";1974;"Luton Town";"Ipswich Town";"1-4";1;4;"1";1;5;-3;"A"
"73";"1974-09-14";1974;"Manchester City";"Liverpool";"2-0";2;0;"1";1;2;2;"H"
"74";"1974-09-14";1974;"Newcastle United";"Carlisle United";"1-0";1;0;"1";1;1;1;"H"
"75";"1974-09-14";1974;"Sheffield United";"Middlesbrough";"1-0";1;0;"1";1;1;1;"H"
"76";"1974-09-14";1974;"Stoke City";"Coventry City";"2-0";2;0;"1";1;2;2;"H"
"77";"1974-09-14";1974;"Tottenham Hotspur";"West Ham United";"2-1";2;1;"1";1;3;1;"H"
"78";"1974-09-21";1974;"Arsenal";"Luton Town";"2-2";2;2;"1";1;4;0;"D"
"79";"1974-09-21";1974;"Carlisle United";"Birmingham City";"1-0";1;0;"1";1;1;1;"H"
"80";"1974-09-21";1974;"Coventry City";"Everton";"1-1";1;1;"1";1;2;0;"D"
"81";"1974-09-21";1974;"Derby County";"Burnley";"3-2";3;2;"1";1;5;1;"H"
"82";"1974-09-21";1974;"Ipswich Town";"Chelsea";"2-0";2;0;"1";1;2;2;"H"
"83";"1974-09-21";1974;"Leeds United";"Sheffield United";"5-1";5;1;"1";1;6;4;"H"
"84";"1974-09-21";1974;"Liverpool";"Stoke City";"3-0";3;0;"1";1;3;3;"H"
"85";"1974-09-21";1974;"Middlesbrough";"Manchester City";"3-0";3;0;"1";1;3;3;"H"
"86";"1974-09-21";1974;"Queens Park Rangers";"Newcastle United";"1-2";1;2;"1";1;3;-1;"A"
"87";"1974-09-21";1974;"West Ham United";"Leicester City";"6-2";6;2;"1";1;8;4;"H"
"88";"1974-09-21";1974;"Wolverhampton Wanderers";"Tottenham Hotspur";"2-3";2;3;"1";1;5;-1;"A"
"89";"1974-09-24";1974;"Carlisle United";"Manchester City";"0-0";0;0;"1";1;0;0;"D"
"90";"1974-09-24";1974;"Coventry City";"Luton Town";"2-1";2;1;"1";1;3;1;"H"
"91";"1974-09-24";1974;"Ipswich Town";"Stoke City";"3-1";3;1;"1";1;4;2;"H"
"92";"1974-09-24";1974;"Liverpool";"Burnley";"0-1";0;1;"1";1;1;-1;"A"
"93";"1974-09-24";1974;"Queens Park Rangers";"Everton";"2-2";2;2;"1";1;4;0;"D"
"94";"1974-09-24";1974;"Wolverhampton Wanderers";"Sheffield United";"1-1";1;1;"1";1;2;0;"D"
"95";"1974-09-25";1974;"Derby County";"Chelsea";"4-1";4;1;"1";1;5;3;"H"
"96";"1974-09-25";1974;"West Ham United";"Birmingham City";"3-0";3;0;"1";1;3;3;"H"
"97";"1974-09-28";1974;"Birmingham City";"Arsenal";"3-1";3;1;"1";1;4;2;"H"
"98";"1974-09-28";1974;"Burnley";"West Ham United";"3-5";3;5;"1";1;8;-2;"A"
"99";"1974-09-28";1974;"Chelsea";"Wolverhampton Wanderers";"0-1";0;1;"1";1;1;-1;"A"
"100";"1974-09-28";1974;"Everton";"Leeds United";"3-2";3;2;"1";1;5;1;"H"
"101";"1974-09-28";1974;"Leicester City";"Coventry City";"0-1";0;1;"1";1;1;-1;"A"
"102";"1974-09-28";1974;"Luton Town";"Carlisle United";"3-1";3;1;"1";1;4;2;"H"
"103";"1974-09-28";1974;"Manchester City";"Queens Park Rangers";"1-0";1;0;"1";1;1;1;"H"
"104";"1974-09-28";1974;"Newcastle United";"Ipswich Town";"1-0";1;0;"1";1;1;1;"H"
"105";"1974-09-28";1974;"Sheffield United";"Liverpool";"1-0";1;0;"1";1;1;1;"H"
"106";"1974-09-28";1974;"Stoke City";"Derby County";"1-1";1;1;"1";1;2;0;"D"
"107";"1974-09-28";1974;"Tottenham Hotspur";"Middlesbrough";"1-2";1;2;"1";1;3;-1;"A"
"108";"1974-10-05";1974;"Birmingham City";"Coventry City";"1-2";1;2;"1";1;3;-1;"A"
"109";"1974-10-05";1974;"Carlisle United";"Liverpool";"0-1";0;1;"1";1;1;-1;"A"
"110";"1974-10-05";1974;"Everton";"Newcastle United";"1-1";1;1;"1";1;2;0;"D"
"111";"1974-10-05";1974;"Leeds United";"Arsenal";"2-0";2;0;"1";1;2;2;"H"
"112";"1974-10-05";1974;"Leicester City";"Luton Town";"0-0";0;0;"1";1;0;0;"D"
"113";"1974-10-05";1974;"Manchester City";"Chelsea";"1-1";1;1;"1";1;2;0;"D"
"114";"1974-10-05";1974;"Middlesbrough";"Wolverhampton Wanderers";"2-1";2;1;"1";1;3;1;"H"
"115";"1974-10-05";1974;"Queens Park Rangers";"Ipswich Town";"1-0";1;0;"1";1;1;1;"H"
"116";"1974-10-05";1974;"Stoke City";"Sheffield United";"3-2";3;2;"1";1;5;1;"H"
