"State","Started.on","Completed","Time.taken","Grade.5.00","Q_1","Q_2","Q_3","Q_4","Q_5","Time.taken_secs"
"Finished","4 March 2019  12:10 PM","4 March 2019  12:23 PM","13 mins 6 secs",3,0,1,0,1,1,786
"Finished","4 March 2019  12:13 PM","4 March 2019  12:28 PM","15 mins 1 sec",2,0,1,1,0,0,901
"Finished","4 March 2019  12:10 PM","4 March 2019  12:20 PM","10 mins 22 secs",5,1,1,1,1,1,622
"Finished","4 March 2019  12:06 PM","4 March 2019  12:21 PM","15 mins",2,0,0,1,1,0,900
"Finished","4 March 2019  12:10 PM","4 March 2019  12:25 PM","15 mins",4,1,0,1,1,1,900
"Finished","4 March 2019  12:10 PM","4 March 2019  12:22 PM","12 mins 25 secs",4,1,1,0,1,1,745
"Finished","4 March 2019  12:12 PM","4 March 2019  12:27 PM","15 mins 1 sec",2,1,0,0,1,0,901
"Finished","4 March 2019  12:10 PM","4 March 2019  12:21 PM","10 mins 57 secs",5,1,1,1,1,1,657
"Finished","4 March 2019  12:10 PM","4 March 2019  12:25 PM","15 mins",4,0,1,1,1,1,900
"Finished","4 March 2019  12:10 PM","4 March 2019  12:25 PM","15 mins",2,1,0,0,1,0,900
"Finished","4 March 2019  12:10 PM","4 March 2019  12:25 PM","14 mins 37 secs",3,1,1,0,0,1,877
"Finished","4 March 2019  12:09 PM","4 March 2019  12:21 PM","12 mins 9 secs",4,1,1,1,0,1,729
"Finished","4 March 2019  12:10 PM","4 March 2019  12:25 PM","15 mins 1 sec",1,0,1,0,0,0,901
"Finished","4 March 2019  12:10 PM","4 March 2019  12:25 PM","15 mins 1 sec",5,1,1,1,1,1,901
"Finished","4 March 2019  12:10 PM","4 March 2019  12:25 PM","15 mins",2,1,0,1,0,0,900
"Finished","4 March 2019  12:09 PM","4 March 2019  12:24 PM","15 mins",2,1,1,0,0,0,900
"Finished","4 March 2019  12:10 PM","4 March 2019  12:25 PM","15 mins 1 sec",0,0,0,0,0,0,901
"Finished","4 March 2019  12:19 PM","4 March 2019  12:30 PM","10 mins 52 secs",2,1,0,1,0,0,652
"Finished","4 March 2019  12:09 PM","4 March 2019  12:24 PM","15 mins",2,1,0,0,1,0,900
"Finished","4 March 2019  12:08 PM","4 March 2019  12:20 PM","11 mins 57 secs",3,1,1,0,1,0,717
"Finished","4 March 2019  12:10 PM","4 March 2019  12:25 PM","14 mins 59 secs",1,1,0,0,0,0,899
"Finished","4 March 2019  12:10 PM","4 March 2019  12:24 PM","14 mins 26 secs",3,1,1,0,0,1,866
"Finished","4 March 2019  12:10 PM","4 March 2019  12:25 PM","15 mins 1 sec",0,0,0,0,0,0,901
"Finished","4 March 2019  12:24 PM","4 March 2019  12:30 PM","5 mins 5 secs",2,1,0,0,1,0,305
"Finished","4 March 2019  12:10 PM","4 March 2019  12:25 PM","15 mins",5,1,1,1,1,1,900
"Finished","4 March 2019  12:10 PM","4 March 2019  12:25 PM","15 mins",3,1,1,1,0,0,900
"Finished","4 March 2019  12:11 PM","4 March 2019  12:26 PM","15 mins 1 sec",3,0,1,1,1,0,901
"Finished","4 March 2019  12:10 PM","4 March 2019  12:25 PM","14 mins 59 secs",3,1,1,0,1,0,899
"Finished","4 March 2019  12:19 PM","4 March 2019  12:30 PM","10 mins 53 secs",2,1,0,0,1,0,653
"Finished","4 March 2019  12:10 PM","4 March 2019  12:25 PM","15 mins",4,1,1,0,1,1,900
"Finished","4 March 2019  12:10 PM","4 March 2019  12:25 PM","14 mins 48 secs",5,1,1,1,1,1,888
"Finished","4 March 2019  12:10 PM","4 March 2019  12:23 PM","13 mins",4,1,1,0,1,1,780
"Finished","4 March 2019  12:09 PM","4 March 2019  12:24 PM","15 mins 1 sec",2,1,1,0,0,0,901
"Finished","4 March 2019  12:10 PM","4 March 2019  12:25 PM","15 mins",2,1,1,0,0,0,900
"Finished","4 March 2019  12:06 PM","4 March 2019  12:21 PM","15 mins 1 sec",1,1,0,0,0,0,901
"Finished","4 March 2019  12:09 PM","4 March 2019  12:24 PM","14 mins 33 secs",1,0,0,0,0,1,873
"Finished","4 March 2019  12:09 PM","4 March 2019  12:24 PM","15 mins",4,1,1,1,0,1,900
"Finished","4 March 2019  12:09 PM","4 March 2019  12:24 PM","15 mins",3,1,0,1,1,0,900
"Finished","4 March 2019  12:10 PM","4 March 2019  12:25 PM","15 mins 1 sec",5,1,1,1,1,1,901
"Finished","4 March 2019  12:23 PM","4 March 2019  12:30 PM","6 mins 47 secs",1,1,0,0,0,0,407
"Finished","4 March 2019  12:10 PM","4 March 2019  12:25 PM","14 mins 59 secs",2,1,0,0,1,0,899
